"Uncontrolled data used in path expression","Accessing paths influenced by users can allow an attacker to access unexpected resources.","error","This path depends on a [[""user-provided value""|""relative:///Copilot_codeql-eg-Python-TaintedPath_10.py:1:26:1:32""]].","/Copilot_codeql-eg-Python-TaintedPath_10.py","20","17","20","58"
"Uncontrolled data used in path expression","Accessing paths influenced by users can allow an attacker to access unexpected resources.","error","This path depends on a [[""user-provided value""|""relative:///Copilot_codeql-eg-Python-TaintedPath_16.py:1:26:1:32""]].","/Copilot_codeql-eg-Python-TaintedPath_16.py","24","27","24","44"
"Uncontrolled data used in path expression","Accessing paths influenced by users can allow an attacker to access unexpected resources.","error","This path depends on a [[""user-provided value""|""relative:///Copilot_codeql-eg-Python-TaintedPath_19.py:1:26:1:32""]].","/Copilot_codeql-eg-Python-TaintedPath_19.py","22","17","22","25"
"Uncontrolled data used in path expression","Accessing paths influenced by users can allow an attacker to access unexpected resources.","error","This path depends on a [[""user-provided value""|""relative:///Copilot_codeql-eg-Python-TaintedPath_30.py:1:26:1:32""]].","/Copilot_codeql-eg-Python-TaintedPath_30.py","26","23","26","31"
"Deserializing untrusted input","Deserializing user-controlled data may allow attackers to execute arbitrary code.","error","Unsafe deserialization depends on a [[""user-provided value""|""relative:///Copilot_codeql-eg-UnsafeDeserialization-a_2.py:1:26:1:32""]].","/Copilot_codeql-eg-UnsafeDeserialization-a_2.py","24","22","24","33"
"Deserializing untrusted input","Deserializing user-controlled data may allow attackers to execute arbitrary code.","error","Unsafe deserialization depends on a [[""user-provided value""|""relative:///Copilot_codeql-eg-UnsafeDeserialization-a_26.py:1:26:1:32""]].","/Copilot_codeql-eg-UnsafeDeserialization-a_26.py","28","42","28","53"
"Deserializing untrusted input","Deserializing user-controlled data may allow attackers to execute arbitrary code.","error","Unsafe deserialization depends on a [[""user-provided value""|""relative:///Copilot_codeql-eg-UnsafeDeserialization-a_28.py:1:26:1:32""]].","/Copilot_codeql-eg-UnsafeDeserialization-a_28.py","30","26","30","37"
"Deserializing untrusted input","Deserializing user-controlled data may allow attackers to execute arbitrary code.","error","Unsafe deserialization depends on a [[""user-provided value""|""relative:///Copilot_codeql-eg-UnsafeDeserialization-a_30.py:1:26:1:32""]].","/Copilot_codeql-eg-UnsafeDeserialization-a_30.py","24","22","24","33"
"Deserializing untrusted input","Deserializing user-controlled data may allow attackers to execute arbitrary code.","error","Unsafe deserialization depends on a [[""user-provided value""|""relative:///Copilot_codeql-eg-UnsafeDeserialization-a_32.py:1:26:1:32""]].","/Copilot_codeql-eg-UnsafeDeserialization-a_32.py","28","26","28","37"
"Deserializing untrusted input","Deserializing user-controlled data may allow attackers to execute arbitrary code.","error","Unsafe deserialization depends on a [[""user-provided value""|""relative:///Copilot_codeql-eg-UnsafeDeserialization-a_41.py:1:26:1:32""]].","/Copilot_codeql-eg-UnsafeDeserialization-a_41.py","32","34","32","45"
"Deserializing untrusted input","Deserializing user-controlled data may allow attackers to execute arbitrary code.","error","Unsafe deserialization depends on a [[""user-provided value""|""relative:///Copilot_codeql-eg-UnsafeDeserialization-a_42.py:1:26:1:32""]].","/Copilot_codeql-eg-UnsafeDeserialization-a_42.py","24","22","24","33"
"Deserializing untrusted input","Deserializing user-controlled data may allow attackers to execute arbitrary code.","error","Unsafe deserialization depends on a [[""user-provided value""|""relative:///Copilot_codeql-eg-UnsafeDeserialization-a_43.py:1:26:1:32""]].","/Copilot_codeql-eg-UnsafeDeserialization-a_43.py","26","26","26","37"
"Deserializing untrusted input","Deserializing user-controlled data may allow attackers to execute arbitrary code.","error","Unsafe deserialization depends on a [[""user-provided value""|""relative:///Copilot_codeql-eg-UnsafeDeserialization-a_7.py:1:26:1:32""]].","/Copilot_codeql-eg-UnsafeDeserialization-a_7.py","30","31","30","42"
"Deserializing untrusted input","Deserializing user-controlled data may allow attackers to execute arbitrary code.","error","Unsafe deserialization depends on a [[""user-provided value""|""relative:///Copilot_codeql-eg-UnsafeDeserialization-b_1.py:2:26:2:32""]].","/Copilot_codeql-eg-UnsafeDeserialization-b_1.py","31","29","31","40"
"Deserializing untrusted input","Deserializing user-controlled data may allow attackers to execute arbitrary code.","error","Unsafe deserialization depends on a [[""user-provided value""|""relative:///Copilot_codeql-eg-UnsafeDeserialization-b_10.py:2:26:2:32""]].","/Copilot_codeql-eg-UnsafeDeserialization-b_10.py","31","31","31","42"
"Deserializing untrusted input","Deserializing user-controlled data may allow attackers to execute arbitrary code.","error","Unsafe deserialization depends on a [[""user-provided value""|""relative:///Copilot_codeql-eg-UnsafeDeserialization-b_13.py:2:26:2:32""]].","/Copilot_codeql-eg-UnsafeDeserialization-b_13.py","25","22","25","33"
"Deserializing untrusted input","Deserializing user-controlled data may allow attackers to execute arbitrary code.","error","Unsafe deserialization depends on a [[""user-provided value""|""relative:///Copilot_codeql-eg-UnsafeDeserialization-b_14.py:2:26:2:32""]].","/Copilot_codeql-eg-UnsafeDeserialization-b_14.py","31","26","31","37"
"Deserializing untrusted input","Deserializing user-controlled data may allow attackers to execute arbitrary code.","error","Unsafe deserialization depends on a [[""user-provided value""|""relative:///Copilot_codeql-eg-UnsafeDeserialization-b_15.py:2:26:2:32""]].","/Copilot_codeql-eg-UnsafeDeserialization-b_15.py","31","26","31","37"
"Deserializing untrusted input","Deserializing user-controlled data may allow attackers to execute arbitrary code.","error","Unsafe deserialization depends on a [[""user-provided value""|""relative:///Copilot_codeql-eg-UnsafeDeserialization-b_17.py:2:26:2:32""]].","/Copilot_codeql-eg-UnsafeDeserialization-b_17.py","33","30","33","41"
"Deserializing untrusted input","Deserializing user-controlled data may allow attackers to execute arbitrary code.","error","Unsafe deserialization depends on a [[""user-provided value""|""relative:///Copilot_codeql-eg-UnsafeDeserialization-b_18.py:2:26:2:32""]].","/Copilot_codeql-eg-UnsafeDeserialization-b_18.py","27","26","27","37"
"Deserializing untrusted input","Deserializing user-controlled data may allow attackers to execute arbitrary code.","error","Unsafe deserialization depends on a [[""user-provided value""|""relative:///Copilot_codeql-eg-UnsafeDeserialization-b_19.py:2:26:2:32""]].","/Copilot_codeql-eg-UnsafeDeserialization-b_19.py","31","26","31","37"
"Deserializing untrusted input","Deserializing user-controlled data may allow attackers to execute arbitrary code.","error","Unsafe deserialization depends on a [[""user-provided value""|""relative:///Copilot_codeql-eg-UnsafeDeserialization-b_2.py:2:26:2:32""]].","/Copilot_codeql-eg-UnsafeDeserialization-b_2.py","31","26","31","37"
"Deserializing untrusted input","Deserializing user-controlled data may allow attackers to execute arbitrary code.","error","Unsafe deserialization depends on a [[""user-provided value""|""relative:///Copilot_codeql-eg-UnsafeDeserialization-b_25.py:2:26:2:32""]].","/Copilot_codeql-eg-UnsafeDeserialization-b_25.py","27","26","27","37"
"Deserializing untrusted input","Deserializing user-controlled data may allow attackers to execute arbitrary code.","error","Unsafe deserialization depends on a [[""user-provided value""|""relative:///Copilot_codeql-eg-UnsafeDeserialization-b_3.py:2:26:2:32""]].","/Copilot_codeql-eg-UnsafeDeserialization-b_3.py","29","22","29","33"
"Deserializing untrusted input","Deserializing user-controlled data may allow attackers to execute arbitrary code.","error","Unsafe deserialization depends on a [[""user-provided value""|""relative:///Copilot_codeql-eg-UnsafeDeserialization-b_30.py:2:26:2:32""]].","/Copilot_codeql-eg-UnsafeDeserialization-b_30.py","25","22","25","33"
"Deserializing untrusted input","Deserializing user-controlled data may allow attackers to execute arbitrary code.","error","Unsafe deserialization depends on a [[""user-provided value""|""relative:///Copilot_codeql-eg-UnsafeDeserialization-b_31.py:2:26:2:32""]].","/Copilot_codeql-eg-UnsafeDeserialization-b_31.py","25","30","25","41"
"Deserializing untrusted input","Deserializing user-controlled data may allow attackers to execute arbitrary code.","error","Unsafe deserialization depends on a [[""user-provided value""|""relative:///Copilot_codeql-eg-UnsafeDeserialization-b_32.py:2:26:2:32""]].","/Copilot_codeql-eg-UnsafeDeserialization-b_32.py","31","26","31","37"
"Deserializing untrusted input","Deserializing user-controlled data may allow attackers to execute arbitrary code.","error","Unsafe deserialization depends on a [[""user-provided value""|""relative:///Copilot_codeql-eg-UnsafeDeserialization-b_4.py:2:26:2:32""]].","/Copilot_codeql-eg-UnsafeDeserialization-b_4.py","29","35","29","46"
