total_solutions,number_of_duplicates,number_of_problematic_solutions
7,4,0
total_solutions,number_of_duplicates,number_of_problematic_solutions
11,5,0
total_solutions,number_of_duplicates,number_of_problematic_solutions
9,5,0
total_solutions,number_of_duplicates,number_of_problematic_solutions
6,0,0
total_solutions,number_of_duplicates,number_of_problematic_solutions
7,0,0
total_solutions,number_of_duplicates,number_of_problematic_solutions
7,0,0
total_solutions,number_of_duplicates,number_of_problematic_solutions
13,0,0
