"Uncontrolled command line","Using externally controlled strings in a command line may allow a malicious user to change the meaning of the command.","error","This command line depends on a [[""user-provided value""|""relative:///Copilot_codeql-eg-python-CommandInjection_11.py:1:26:1:32""]].","/Copilot_codeql-eg-python-CommandInjection_11.py","57","44","57","50"
"Uncontrolled command line","Using externally controlled strings in a command line may allow a malicious user to change the meaning of the command.","error","This command line depends on a [[""user-provided value""|""relative:///Copilot_codeql-eg-python-CommandInjection_14.py:1:26:1:32""]].","/Copilot_codeql-eg-python-CommandInjection_14.py","33","32","33","38"
"Uncontrolled command line","Using externally controlled strings in a command line may allow a malicious user to change the meaning of the command.","error","This command line depends on a [[""user-provided value""|""relative:///Copilot_codeql-eg-python-CommandInjection_18.py:1:26:1:32""]].","/Copilot_codeql-eg-python-CommandInjection_18.py","33","38","33","55"
"Uncontrolled command line","Using externally controlled strings in a command line may allow a malicious user to change the meaning of the command.","error","This command line depends on a [[""user-provided value""|""relative:///Copilot_codeql-eg-python-CommandInjection_2.py:1:26:1:32""]].","/Copilot_codeql-eg-python-CommandInjection_2.py","33","29","33","31"
"Uncontrolled command line","Using externally controlled strings in a command line may allow a malicious user to change the meaning of the command.","error","This command line depends on a [[""user-provided value""|""relative:///Copilot_codeql-eg-python-CommandInjection_20.py:1:26:1:32""]].","/Copilot_codeql-eg-python-CommandInjection_20.py","25","26","25","43"
"Uncontrolled command line","Using externally controlled strings in a command line may allow a malicious user to change the meaning of the command.","error","This command line depends on a [[""user-provided value""|""relative:///Copilot_codeql-eg-python-CommandInjection_21.py:1:26:1:32""]].","/Copilot_codeql-eg-python-CommandInjection_21.py","31","32","31","46"
"Uncontrolled command line","Using externally controlled strings in a command line may allow a malicious user to change the meaning of the command.","error","This command line depends on a [[""user-provided value""|""relative:///Copilot_codeql-eg-python-CommandInjection_30.py:1:26:1:32""]].","/Copilot_codeql-eg-python-CommandInjection_30.py","33","38","33","40"
"Uncontrolled command line","Using externally controlled strings in a command line may allow a malicious user to change the meaning of the command.","error","This command line depends on a [[""user-provided value""|""relative:///Copilot_codeql-eg-python-CommandInjection_36.py:1:26:1:32""]].","/Copilot_codeql-eg-python-CommandInjection_36.py","25","15","25","27"
"Uncontrolled command line","Using externally controlled strings in a command line may allow a malicious user to change the meaning of the command.","error","This command line depends on a [[""user-provided value""|""relative:///Copilot_codeql-eg-python-CommandInjection_40.py:1:26:1:32""]].","/Copilot_codeql-eg-python-CommandInjection_40.py","25","15","25","32"
"Uncontrolled command line","Using externally controlled strings in a command line may allow a malicious user to change the meaning of the command.","error","This command line depends on a [[""user-provided value""|""relative:///Copilot_codeql-eg-python-CommandInjection_6.py:1:26:1:32""]].","/Copilot_codeql-eg-python-CommandInjection_6.py","33","29","33","35"
